id,year,quarter,state,entity_name,entity_type,count,amount
1,2018,1,,bengaluru urban,,8306513,14162750303.06484
2,2018,1,,pune,,3842929,5378982326.835919
3,2018,1,,central delhi,,2997714,4312145216.274474
4,2018,1,,mumbai,,2671029,3923116793.952079
5,2018,1,,chennai,,2656230,4281137762.522443
6,2018,1,,hyderabad,,2545507,4287223789.76588
7,2018,1,,jaipur,,2417174,2953086960.1413727
8,2018,1,,birbhum,,2125816,2520486412.452376
9,2018,1,,kolkata,,2043129,2753347660.1429114
10,2018,1,,bhopal,,1704495,1905473874.8326716
11,2018,1,,560001,,2917356,4684262246.184548
12,2018,1,,110006,,2636324,3714139312.238586
13,2018,1,,400008,,2227885,3105208723.475169
14,2018,1,,600003,,2010196,2997847000.265506
15,2018,1,,731101,,1764956,2366771285.7278423
16,2018,1,,700009,,1390629,1851145374.4001179
17,2018,1,,411001,,1055656,1413523605.5956619
18,2018,1,,500012,,933013,1643061976.4262943
19,2018,1,,462001,,832846,898730606.684653
20,2018,1,,201301,,690196,987613438.9540119
21,2018,2,,bengaluru urban,,11916035,23824727965.49048
22,2018,2,,pune,,5162876,8513428062.925206
23,2018,2,,chennai,,3719593,7305357440.752291
24,2018,2,,central delhi,,3589206,6223466821.092629
25,2018,2,,mumbai,,3277612,6048515205.760132
26,2018,2,,jaipur,,3175255,4952882923.415596
27,2018,2,,hyderabad,,3156805,6628159910.681627
28,2018,2,,birbhum,,2775489,3988930679.767912
29,2018,2,,kolkata,,2501448,4109821729.8900533
30,2018,2,,north twenty four parganas,,2119664,2509379355.091834
31,2018,2,,560001,,3777086,7545089760.607167
32,2018,2,,110006,,3069733,5237594871.124264
33,2018,2,,600003,,2771900,5194488793.022476
34,2018,2,,400008,,2631405,4703762207.003538
35,2018,2,,731101,,2134258,3697928407.603048
36,2018,2,,700009,,1473202,2566583723.725673
37,2018,2,,411001,,1316115,2145613783.5507011
38,2018,2,,500012,,1024336,2257038218.1929708
39,2018,2,,201301,,971854,1673280979.3831716
40,2018,2,,462001,,928983,1443626493.1959715
41,2018,3,,bengaluru urban,,18405424,33812835282.27632
42,2018,3,,central delhi,,8165361,10515884583.426525
43,2018,3,,pune,,7890491,12601613622.467594
44,2018,3,,birbhum,,6066238,6130627463.516832
45,2018,3,,chennai,,5887343,10122319547.137985
46,2018,3,,hyderabad,,5786941,9503554478.108147
47,2018,3,,khordha,,5333443,4389717266.977921
48,2018,3,,bankura,,5179457,2464193070.534754
49,2018,3,,jaipur,,4954443,7882149494.55468
