id,year,quarter,name,type,count,amount
1,2018,1,Recharge & bill payments,TOTAL,72550406,14472713558.652578
2,2018,1,Peer-to-peer payments,TOTAL,46982705,147245883542.77402
3,2018,1,Merchant payments,TOTAL,5368669,4656678915.140091
4,2018,1,Financial Services,TOTAL,3762820,815853105.1000277
5,2018,1,Others,TOTAL,5761576,4643217301.269438
6,2018,2,Recharge & bill payments,TOTAL,92033715,24351225616.36898
7,2018,2,Peer-to-peer payments,TOTAL,74558816,264767671095.31842
8,2018,2,Merchant payments,TOTAL,10613941,9052859939.339659
9,2018,2,Financial Services,TOTAL,5186569,1176991419.239996
10,2018,2,Others,TOTAL,4973199,5027454207.140578
11,2018,3,Peer-to-peer payments,TOTAL,202021587,425967421714.0399
12,2018,3,Recharge & bill payments,TOTAL,102290514,31364311860.394596
13,2018,3,Merchant payments,TOTAL,25175938,12433150984.830223
14,2018,3,Financial Services,TOTAL,6218596,891447809.4200314
15,2018,3,Others,TOTAL,5594554,4449556277.54975
16,2018,4,Peer-to-peer payments,TOTAL,200235002,594995709377.7327
17,2018,4,Recharge & bill payments,TOTAL,131917248,39578607327.024284
18,2018,4,Merchant payments,TOTAL,71498510,30497289208.339787
19,2018,4,Financial Services,TOTAL,5216165,868584631.5900131
20,2018,4,Others,TOTAL,8246415,5802659774.449921
21,2019,1,Peer-to-peer payments,TOTAL,404841331,887893108631.5128
22,2019,1,Recharge & bill payments,TOTAL,180504739,55473071028.87885
23,2019,1,Merchant payments,TOTAL,110496541,40575915112.522
24,2019,1,Financial Services,TOTAL,4627353,603852042.0000324
25,2019,1,Others,TOTAL,8526177,5484252454.8204155
26,2019,2,Peer-to-peer payments,TOTAL,384711008,1196425281586.9927
27,2019,2,Recharge & bill payments,TOTAL,209898072,76865848586.98372
28,2019,2,Merchant payments,TOTAL,206467182,73415840739.88434
29,2019,2,Financial Services,TOTAL,2650384,545329308.0899862
30,2019,2,Others,TOTAL,11656557,6969423863.830339
31,2019,3,Peer-to-peer payments,TOTAL,461911865,1440512511470.7004
32,2019,3,Merchant payments,TOTAL,376320628,123209398484.44376
33,2019,3,Recharge & bill payments,TOTAL,240103872,101520929811.06812
34,2019,3,Financial Services,TOTAL,2870292,617120839.9299941
35,2019,3,Others,TOTAL,13804992,6705143103.510092
36,2019,4,Peer-to-peer payments,TOTAL,703497002,1963952535223.0903
37,2019,4,Merchant payments,TOTAL,456578271,174239646473.03162
38,2019,4,Recharge & bill payments,TOTAL,285310032,116344996244.26738
39,2019,4,Financial Services,TOTAL,2476840,551204225.4200497
40,2019,4,Others,TOTAL,12583379,4811822509.649999
41,2020,1,Peer-to-peer payments,TOTAL,693998661,2320557268853.593
42,2020,1,Merchant payments,TOTAL,566355270,231298042209.83606
43,2020,1,Recharge & bill payments,TOTAL,351300991,140373550367.1558
44,2020,1,Financial Services,TOTAL,1358171,773848137.0300016
45,2020,1,Others,TOTAL,10027019,4116905195.8207293
46,2020,2,Peer-to-peer payments,TOTAL,631031364,2243915932390.771
47,2020,2,Recharge & bill payments,TOTAL,448842692,171590686463.15784
48,2020,2,Merchant payments,TOTAL,363275861,226908226049.51398
49,2020,2,Financial Services,TOTAL,1682062,1751767444.1000087
50,2020,2,Others,TOTAL,3779461,1987466180.2098684
51,2020,3,Peer-to-peer payments,TOTAL,916790263,3287051873253.504
52,2020,3,Merchant payments,TOTAL,672019839,405291207894.2984
53,2020,3,Recharge & bill payments,TOTAL,436172619,204262355709.72183
54,2020,3,Financial Services,TOTAL,2531978,2673063432.9600067
55,2020,3,Others,TOTAL,5541374,2789907563.6502213
56,2020,4,Peer-to-peer payments,TOTAL,1249512647,4474548495095.518
57,2020,4,Merchant payments,TOTAL,1127490136,684873639322.252
58,2020,4,Recharge & bill payments,TOTAL,479784084,227875840842.1121
59,2020,4,Financial Services,TOTAL,2942567,3259168195.749941
60,2020,4,Others,TOTAL,9556404,5323095366.309718
61,2021,1,Merchant payments,TOTAL,1467948823,844466633896.8679
62,2021,1,Peer-to-peer payments,TOTAL,1447600942,5170856441552.582
63,2021,1,Recharge & bill payments,TOTAL,530118545,260182440730.4327
64,2021,1,Financial Services,TOTAL,3075296,3573884778.5300817
65,2021,1,Others,TOTAL,8851525,5199901891.8900385
66,2021,2,Peer-to-peer payments,TOTAL,1744272888,6163165772736.494
67,2021,2,Merchant payments,TOTAL,1499626469,1003530942287.5988
68,2021,2,Recharge & bill payments,TOTAL,685024821,300559461295.9022
69,2021,2,Financial Services,TOTAL,3397384,3651996523.4499955
70,2021,2,Others,TOTAL,9061732,5598131364.820071
71,2021,3,Merchant payments,TOTAL,2316924871,1426965558783.5557
72,2021,3,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912
73,2021,3,Recharge & bill payments,TOTAL,714583744,349234592690.4992
74,2021,3,Financial Services,TOTAL,3112160,4043342762.3300233
75,2021,3,Others,TOTAL,13558464,7146868847.2897215
76,2021,4,Merchant payments,TOTAL,3152394530,1995855822160.6426
77,2021,4,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78
78,2021,4,Recharge & bill payments,TOTAL,738096162,407266894783.10693
79,2021,4,Financial Services,TOTAL,4141629,5028434834.240034
80,2021,4,Others,TOTAL,14562602,9296993478.869577
81,2022,1,Merchant payments,TOTAL,3748851071,2272818129376.5205
82,2022,1,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926
83,2022,1,Recharge & bill payments,TOTAL,749674246,447599848131.41187
84,2022,1,Financial Services,TOTAL,4035100,4921211866.489969
85,2022,1,Others,TOTAL,16393502,8422766458.459174
86,2022,2,Merchant payments,TOTAL,4765203787,2847096877386.341
87,2022,2,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535
88,2022,2,Recharge & bill payments,TOTAL,845751926,523046092987.93964
89,2022,2,Financial Services,TOTAL,3272822,3889787479.819907
90,2022,2,Others,TOTAL,11241480,6711034131.16017
91,2022,3,Merchant payments,TOTAL,5618132071,3151614767860.314
92,2022,3,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29
93,2022,3,Recharge & bill payments,TOTAL,956164949,607048699730.3645
94,2022,3,Financial Services,TOTAL,3959631,4514223164.469998
95,2022,3,Others,TOTAL,10005043,6725900102.770244
96,2022,4,Merchant payments,TOTAL,6565690145,3673601044800.037
97,2022,4,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227
98,2022,4,Recharge & bill payments,TOTAL,991049281,649776847580.25
99,2022,4,Financial Services,TOTAL,4623387,5360528394.309982
100,2022,4,Others,TOTAL,10013085,7361492606.590162
101,2023,1,Merchant payments,TOTAL,7205999708,3745994748195.0
