id,year,quarter,brand,count,percentage,registered_users,app_opens
1,2018,1,Xiaomi,11926334,0.25441289809538475,46877867,0
2,2018,1,Samsung,9609401,0.204988017052909,46877867,0
3,2018,1,Vivo,5894293,0.1257372269092363,46877867,0
4,2018,1,Oppo,4479351,0.09555364368434255,46877867,0
5,2018,1,Realme,2376866,0.05070337351313361,46877867,0
6,2018,1,Apple,1825153,0.03893421601285741,46877867,0
7,2018,1,Motorola,1593250,0.033987254582210406,46877867,0
8,2018,1,OnePlus,1536418,0.03277491273227086,46877867,0
9,2018,1,Lenovo,1246507,0.026590522986039446,46877867,0
10,2018,1,Huawei,808774,0.01725279010668297,46877867,0
11,2018,1,Others,5581520,0.1190651443249327,46877867,0
12,2018,2,Xiaomi,16416511,0.25792532028069054,63648311,0
13,2018,2,Samsung,12943051,0.2033526231355927,63648311,0
14,2018,2,Vivo,8365074,0.13142648828497586,63648311,0
15,2018,2,Oppo,6246581,0.09814213294678001,63648311,0
16,2018,2,Realme,3165738,0.04973797340828102,63648311,0
17,2018,2,Apple,2326897,0.03655866060609212,63648311,0
18,2018,2,Motorola,2099718,0.03298937500478214,63648311,0
19,2018,2,OnePlus,1890141,0.029696640339757014,63648311,0
20,2018,2,Lenovo,1627153,0.025564747507596863,63648311,0
21,2018,2,Huawei,1104740,0.017356941333447166,63648311,0
22,2018,2,Others,7462707,0.11724909715200456,63648311,0
23,2018,3,Xiaomi,20859459,0.2607075466368654,80010952,0
24,2018,3,Samsung,16228372,0.20282688299971735,80010952,0
25,2018,3,Vivo,11118842,0.13896650048608344,80010952,0
26,2018,3,Oppo,8103650,0.10128175952712073,80010952,0
27,2018,3,Realme,3962596,0.04952566993578579,80010952,0
28,2018,3,Apple,2774989,0.034682614450081785,80010952,0
29,2018,3,Motorola,2529272,0.03161157237574176,80010952,0
30,2018,3,OnePlus,2231557,0.027890644270799327,80010952,0
31,2018,3,Lenovo,1857680,0.023217821480239355,80010952,0
32,2018,3,Huawei,1444125,0.018049091579362787,80010952,0
33,2018,3,Others,8900410,0.11123989625820226,80010952,0
34,2018,4,Xiaomi,26709586,0.2611876516661043,102262055,0
35,2018,4,Samsung,20740259,0.2028148075060686,102262055,0
36,2018,4,Vivo,14966905,0.14635834376690357,102262055,0
37,2018,4,Oppo,10754040,0.10516158706178944,102262055,0
38,2018,4,Realme,4997725,0.04887174426526046,102262055,0
39,2018,4,Apple,3435529,0.03359534482267152,102262055,0
40,2018,4,Motorola,3089947,0.030215968180964094,102262055,0
41,2018,4,OnePlus,2668868,0.026098321611080475,102262055,0
42,2018,4,Lenovo,2257295,0.022073632296945332,102262055,0
43,2018,4,Huawei,1899667,0.01857646025204559,102262055,0
44,2018,4,Others,10742234,0.10504613857016662,102262055,0
45,2019,1,Xiaomi,32175910,0.26067573876837935,123432699,0
46,2019,1,Samsung,25070398,0.20310985827183445,123432699,0
47,2019,1,Vivo,18778714,0.15213727117803685,123432699,0
48,2019,1,Oppo,13426696,0.10877746422769222,123432699,0
49,2019,1,Realme,5948556,0.04819270783344047,123432699,0
