id,year,quarter,state,count,amount
1,2018,1,puducherry,104212,165825971.36983618
2,2018,1,tamil nadu,6726622,11261557697.516891
3,2018,1,uttar pradesh,12537805,13939970923.223106
4,2018,1,madhya pradesh,8025395,8681603403.446348
5,2018,1,andhra pradesh,9039585,11996276391.823706
6,2018,1,tripura,148157,137978914.53062224
7,2018,1,lakshadweep,778,1928611.1808777403
8,2018,1,manipur,84069,128046173.93020926
9,2018,1,maharashtra,16387034,21711613257.725674
10,2018,1,dadra & nagar haveli & daman & diu,148549,175658384.10921687
11,2018,1,meghalaya,49571,66250259.78990036
12,2018,1,andaman & nicobar islands,6658,14631761.22198579
13,2018,1,haryana,4480770,6793511514.660528
14,2018,1,rajasthan,7591690,8926293130.726837
15,2018,1,ladakh,6089,12532857.771114783
16,2018,1,punjab,1870433,2780758224.854389
17,2018,1,assam,1056881,1157804456.212469
18,2018,1,jharkhand,2178921,2374186389.9194
19,2018,1,odisha,5809821,4627632210.887628
20,2018,1,bihar,5824302,6045758172.017314
21,2018,1,kerala,1771380,2402674753.100502
22,2018,1,karnataka,12016899,19217895314.012802
23,2018,1,chandigarh,381895,613435420.8676233
24,2018,1,telangana,8522766,13308204118.542435
25,2018,1,himachal pradesh,481918,628737806.3723404
26,2018,1,west bengal,11710225,10625978552.140453
27,2018,1,gujarat,5948775,7577982255.034092
28,2018,1,sikkim,44078,64650938.94036834
29,2018,1,nagaland,42845,78005891.08612517
30,2018,1,mizoram,18561,45227219.975790836
31,2018,1,chhattisgarh,1891514,2149155557.2367463
32,2018,1,jammu & kashmir,941568,1005371239.2561305
33,2018,1,goa,160897,303856742.34308386
34,2018,1,arunachal pradesh,45497,92387336.00940911
35,2018,1,delhi,7122754,11211503806.91996
36,2018,1,uttarakhand,1246685,1508545358.5238864
37,2018,2,puducherry,130261,285801119.5324367
38,2018,2,tamil nadu,9992128,20125844276.267662
39,2018,2,uttar pradesh,17710943,25720201695.701435
40,2018,2,madhya pradesh,10561412,15924081066.680986
41,2018,2,andhra pradesh,12353918,22883914272.633617
42,2018,2,tripura,214559,236891718.7161358
43,2018,2,lakshadweep,2132,6187809.539400538
44,2018,2,manipur,151721,253209721.319494
45,2018,2,maharashtra,22285740,36357057241.12254
46,2018,2,dadra & nagar haveli & daman & diu,202626,302070771.6561514
47,2018,2,meghalaya,67857,117004667.8418316
48,2018,2,andaman & nicobar islands,11340,28338535.507953547
49,2018,2,haryana,6150931,11320414442.116663
50,2018,2,rajasthan,9973697,15559086175.75962
51,2018,2,ladakh,15010,47334902.5377415
52,2018,2,punjab,2581163,4684672212.007125
53,2018,2,assam,1663873,2350585135.537811
54,2018,2,jharkhand,3152080,4721575659.062912
55,2018,2,odisha,8158144,8488310339.620239
56,2018,2,bihar,8632378,13506131109.672922
57,2018,2,kerala,2308165,3886923343.44263
58,2018,2,karnataka,17116447,33515580081.29709
59,2018,2,chandigarh,479084,961223261.74473
60,2018,2,telangana,10764670,23017201517.652737
61,2018,2,himachal pradesh,687695,1183169301.3511178
62,2018,2,west bengal,18082446,18629183470.204285
63,2018,2,gujarat,7745733,12162684771.641388
64,2018,2,sikkim,74578,143693085.52979562
65,2018,2,nagaland,65599,153325577.88030174
66,2018,2,mizoram,27051,83508405.55773437
67,2018,2,chhattisgarh,2816156,4264170443.1617327
68,2018,2,jammu & kashmir,1796326,2651206236.5028934
69,2018,2,goa,229575,478603825.35861486
70,2018,2,arunachal pradesh,82157,198970192.34204656
71,2018,2,delhi,9373723,17446299902.205147
72,2018,2,uttarakhand,1704122,2679755378.5510764
73,2018,3,puducherry,190271,417658075.4942067
74,2018,3,tamil nadu,15774078,29330092241.18405
75,2018,3,uttar pradesh,26515356,37012114369.23937
76,2018,3,madhya pradesh,17126985,24149742204.67322
77,2018,3,andhra pradesh,25626061,35718044599.21416
78,2018,3,tripura,377703,453863388.04059243
79,2018,3,lakshadweep,1703,4339032.3119858485
80,2018,3,manipur,189258,383331244.79412293
81,2018,3,maharashtra,31538538,52260817733.24835
82,2018,3,dadra & nagar haveli & daman & diu,289575,447639595.67817545
83,2018,3,meghalaya,110290,209853661.53439403
84,2018,3,andaman & nicobar islands,16265,55557471.13431113
85,2018,3,haryana,8262024,16375139007.627964
86,2018,3,rajasthan,14257098,24040768671.212967
87,2018,3,ladakh,24864,84090977.14484604
88,2018,3,punjab,3462108,7065687043.821184
89,2018,3,assam,2351851,3811134989.9142647
90,2018,3,jharkhand,8122621,8661571417.704563
91,2018,3,odisha,30052155,23094515775.585766
92,2018,3,bihar,14367804,20135804378.90174
93,2018,3,kerala,3134348,5323025223.875498
94,2018,3,karnataka,25980261,48225091755.80772
95,2018,3,chandigarh,616936,1369354447.5343118
96,2018,3,telangana,19332703,32030093209.72354
97,2018,3,himachal pradesh,886754,1754041432.858025
98,2018,3,west bengal,53705416,41843934183.177635
99,2018,3,gujarat,11334149,17866404426.27552
100,2018,3,sikkim,108500,235080226.95331776
101,2018,3,nagaland,94371,241792742.9366532
102,2018,3,mizoram,39316,116600738.12539022
103,2018,3,chhattisgarh,3859604,6302307073.446348
104,2018,3,jammu & kashmir,2303961,3934700999.457677
105,2018,3,goa,339511,713166969.2382338
106,2018,3,arunachal pradesh,131146,331726406.7413912
107,2018,3,delhi,18547048,27375846860.618515
108,2018,3,uttarakhand,2229132,3726573039.8585143
109,2018,4,puducherry,307964,625691665.4234949
110,2018,4,tamil nadu,22457444,43302073975.890976
111,2018,4,uttar pradesh,36100767,55096743575.91497
112,2018,4,madhya pradesh,21397555,33905608072.964783
113,2018,4,andhra pradesh,30759548,51473779406.840416
114,2018,4,tripura,448059,624885599.4644469
115,2018,4,lakshadweep,1642,4463213.698222831
116,2018,4,manipur,236110,605683559.3060112
