id,year,quarter,state,registered_users,app_opens
1,2018,1,puducherry,49318,0
2,2018,1,tamil nadu,2104754,0
3,2018,1,uttar pradesh,4694250,0
4,2018,1,madhya pradesh,2553603,0
5,2018,1,andhra pradesh,3336450,0
6,2018,1,tripura,55157,0
7,2018,1,lakshadweep,501,0
8,2018,1,manipur,29925,0
9,2018,1,maharashtra,6106994,0
10,2018,1,dadra & nagar haveli & daman & diu,53258,0
11,2018,1,meghalaya,18513,0
12,2018,1,andaman & nicobar islands,6740,0
13,2018,1,haryana,1847357,0
14,2018,1,rajasthan,3158202,0
15,2018,1,ladakh,8784,0
16,2018,1,punjab,847142,0
17,2018,1,assam,385237,0
18,2018,1,jharkhand,885762,0
19,2018,1,odisha,1594015,0
20,2018,1,bihar,2133804,0
21,2018,1,kerala,784184,0
22,2018,1,karnataka,3717763,0
23,2018,1,chandigarh,86268,0
24,2018,1,telangana,3315560,0
25,2018,1,himachal pradesh,227373,0
26,2018,1,west bengal,2604789,0
27,2018,1,gujarat,2690048,0
28,2018,1,sikkim,20051,0
29,2018,1,nagaland,15074,0
30,2018,1,mizoram,7593,0
31,2018,1,chhattisgarh,679263,0
32,2018,1,jammu & kashmir,176425,0
33,2018,1,goa,91936,0
34,2018,1,arunachal pradesh,21495,0
35,2018,1,delhi,2087022,0
36,2018,1,uttarakhand,483043,0
37,2018,2,puducherry,65580,0
38,2018,2,tamil nadu,2996036,0
39,2018,2,uttar pradesh,6442554,0
40,2018,2,madhya pradesh,3441662,0
41,2018,2,andhra pradesh,4402540,0
42,2018,2,tripura,83369,0
43,2018,2,lakshadweep,686,0
44,2018,2,manipur,46055,0
45,2018,2,maharashtra,8222371,0
46,2018,2,dadra & nagar haveli & daman & diu,71458,0
47,2018,2,meghalaya,26618,0
48,2018,2,andaman & nicobar islands,9405,0
49,2018,2,haryana,2447221,0
50,2018,2,rajasthan,4212964,0
51,2018,2,ladakh,12918,0
52,2018,2,punjab,1152190,0
53,2018,2,assam,571046,0
54,2018,2,jharkhand,1230599,0
55,2018,2,odisha,2185781,0
56,2018,2,bihar,3005872,0
57,2018,2,kerala,1066587,0
58,2018,2,karnataka,5030665,0
59,2018,2,chandigarh,115219,0
60,2018,2,telangana,4260115,0
61,2018,2,himachal pradesh,315299,0
62,2018,2,west bengal,3833795,0
63,2018,2,gujarat,3565825,0
64,2018,2,sikkim,28097,0
65,2018,2,nagaland,22436,0
66,2018,2,mizoram,10422,0
67,2018,2,chhattisgarh,950675,0
68,2018,2,jammu & kashmir,261609,0
69,2018,2,goa,122174,0
70,2018,2,arunachal pradesh,32883,0
71,2018,2,delhi,2756141,0
72,2018,2,uttarakhand,649142,0
73,2018,3,puducherry,81546,0
74,2018,3,tamil nadu,3900177,0
75,2018,3,uttar pradesh,8096483,0
76,2018,3,madhya pradesh,4309309,0
77,2018,3,andhra pradesh,5427617,0
78,2018,3,tripura,116874,0
79,2018,3,lakshadweep,918,0
80,2018,3,manipur,61935,0
81,2018,3,maharashtra,10435033,0
82,2018,3,dadra & nagar haveli & daman & diu,92107,0
83,2018,3,meghalaya,37281,0
84,2018,3,andaman & nicobar islands,12149,0
85,2018,3,haryana,3020398,0
86,2018,3,rajasthan,5175453,0
87,2018,3,ladakh,17749,0
88,2018,3,punjab,1473148,0
89,2018,3,assam,784802,0
90,2018,3,jharkhand,1532362,0
91,2018,3,odisha,2795718,0
92,2018,3,bihar,3784535,0
93,2018,3,kerala,1347598,0
94,2018,3,karnataka,6372649,0
95,2018,3,chandigarh,143893,0
96,2018,3,telangana,5138501,0
97,2018,3,himachal pradesh,407634,0
98,2018,3,west bengal,4851740,0
99,2018,3,gujarat,4433183,0
100,2018,3,sikkim,37637,0
101,2018,3,nagaland,32090,0
102,2018,3,mizoram,14502,0
103,2018,3,chhattisgarh,1217792,0
104,2018,3,jammu & kashmir,342529,0
105,2018,3,goa,153802,0
106,2018,3,arunachal pradesh,45922,0
107,2018,3,delhi,3504911,0
108,2018,3,uttarakhand,810612,0
109,2018,4,puducherry,109494,0
110,2018,4,tamil nadu,5199878,0
111,2018,4,uttar pradesh,10341964,0
112,2018,4,madhya pradesh,5365442,0
113,2018,4,andhra pradesh,6857409,0
114,2018,4,tripura,153265,0
115,2018,4,lakshadweep,1156,0
116,2018,4,manipur,82589,0
117,2018,4,maharashtra,13381602,0
118,2018,4,dadra & nagar haveli & daman & diu,116511,0
119,2018,4,meghalaya,49634,0
120,2018,4,andaman & nicobar islands,15222,0
121,2018,4,haryana,3793079,0
122,2018,4,rajasthan,6358738,0
123,2018,4,ladakh,23883,0
124,2018,4,punjab,1865715,0
125,2018,4,assam,1039221,0
126,2018,4,jharkhand,1913949,0
127,2018,4,odisha,3623911,0
128,2018,4,bihar,4776665,0
129,2018,4,kerala,1757326,0
130,2018,4,karnataka,8315802,0
131,2018,4,chandigarh,177747,0
132,2018,4,telangana,6529679,0
133,2018,4,himachal pradesh,526343,0
134,2018,4,west bengal,6279278,0
135,2018,4,gujarat,5579040,0
136,2018,4,sikkim,48538,0
137,2018,4,nagaland,42997,0
138,2018,4,mizoram,19365,0
139,2018,4,chhattisgarh,1579998,0
140,2018,4,jammu & kashmir,436563,0
141,2018,4,goa,195350,0
142,2018,4,arunachal pradesh,61852,0
143,2018,4,delhi,4630313,0
144,2018,4,uttarakhand,1012103,0
145,2019,1,puducherry,133059,0
146,2019,1,tamil nadu,6296303,0
147,2019,1,uttar pradesh,12458661,0
148,2019,1,madhya pradesh,6414403,0
149,2019,1,andhra pradesh,8283019,0
150,2019,1,tripura,183254,0
151,2019,1,lakshadweep,1416,0
152,2019,1,manipur,99527,0
153,2019,1,maharashtra,16284451,0
154,2019,1,dadra & nagar haveli & daman & diu,140532,0
155,2019,1,meghalaya,61487,0
156,2019,1,andaman & nicobar islands,18596,0
157,2019,1,haryana,4538767,0
158,2019,1,rajasthan,7712204,0
159,2019,1,ladakh,29649,0
160,2019,1,punjab,2226590,0
161,2019,1,assam,1259085,0
162,2019,1,jharkhand,2279329,0
163,2019,1,odisha,4320744,0
164,2019,1,bihar,5745117,0
165,2019,1,kerala,2136624,0
166,2019,1,karnataka,10266174,0
167,2019,1,chandigarh,209175,0
168,2019,1,telangana,7963425,0
169,2019,1,himachal pradesh,653205,0
170,2019,1,west bengal,7449425,0
171,2019,1,gujarat,6652536,0
172,2019,1,sikkim,58956,0
173,2019,1,nagaland,53911,0
174,2019,1,mizoram,23670,0
175,2019,1,chhattisgarh,1908898,0
176,2019,1,jammu & kashmir,530669,0
177,2019,1,goa,238152,0
178,2019,1,arunachal pradesh,76957,0
179,2019,1,delhi,5499263,0
180,2019,1,uttarakhand,1224955,0
181,2019,2,puducherry,156458,661932
182,2019,2,tamil nadu,7429609,33658961
183,2019,2,uttar pradesh,14316349,78394040
184,2019,2,madhya pradesh,7301172,50642151
185,2019,2,andhra pradesh,9389003,81375251
186,2019,2,tripura,217644,953627
187,2019,2,lakshadweep,1747,4580
188,2019,2,manipur,117747,464829
189,2019,2,maharashtra,18776975,109967705
190,2019,2,dadra & nagar haveli & daman & diu,158580,860686
191,2019,2,meghalaya,74746,395764
192,2019,2,andaman & nicobar islands,21731,52640
193,2019,2,haryana,5178030,31929195
194,2019,2,rajasthan,8783935,62787336
195,2019,2,ladakh,35516,157317
196,2019,2,punjab,2600112,10928094
197,2019,2,assam,1500128,7350326
198,2019,2,jharkhand,2604854,14929066
199,2019,2,odisha,4845359,33955545
200,2019,2,bihar,6589759,39607022
201,2019,2,kerala,2550167,8673220
202,2019,2,karnataka,11968087,113024811
203,2019,2,chandigarh,240439,1220176
204,2019,2,telangana,9046007,80842302
205,2019,2,himachal pradesh,772603,3321711
206,2019,2,west bengal,8612795,49514201
207,2019,2,gujarat,7574645,34890301
208,2019,2,sikkim,70999,398520
209,2019,2,nagaland,66891,362497
