id,year,quarter,state,registered_users,app_opens
1,2018,1,maharashtra,6106994,
2,2018,1,uttar pradesh,4694250,
3,2018,1,karnataka,3717763,
4,2018,1,andhra pradesh,3336450,
5,2018,1,telangana,3315560,
6,2018,1,rajasthan,3158202,
7,2018,1,gujarat,2690048,
8,2018,1,west bengal,2604789,
9,2018,1,madhya pradesh,2553603,
10,2018,1,bihar,2133804,
11,2018,2,maharashtra,8222371,
12,2018,2,uttar pradesh,6442554,
13,2018,2,karnataka,5030665,
14,2018,2,andhra pradesh,4402540,
15,2018,2,telangana,4260115,
16,2018,2,rajasthan,4212964,
17,2018,2,west bengal,3833795,
18,2018,2,gujarat,3565825,
19,2018,2,madhya pradesh,3441662,
20,2018,2,bihar,3005872,
21,2018,3,maharashtra,10435033,
22,2018,3,uttar pradesh,8096483,
23,2018,3,karnataka,6372649,
24,2018,3,andhra pradesh,5427617,
25,2018,3,rajasthan,5175453,
26,2018,3,telangana,5138501,
27,2018,3,west bengal,4851740,
28,2018,3,gujarat,4433183,
29,2018,3,madhya pradesh,4309309,
30,2018,3,tamil nadu,3900177,
31,2018,4,maharashtra,13381602,
32,2018,4,uttar pradesh,10341964,
33,2018,4,karnataka,8315802,
34,2018,4,andhra pradesh,6857409,
35,2018,4,telangana,6529679,
36,2018,4,rajasthan,6358738,
37,2018,4,west bengal,6279278,
38,2018,4,gujarat,5579040,
39,2018,4,madhya pradesh,5365442,
40,2018,4,tamil nadu,5199878,
41,2019,1,maharashtra,16284451,
42,2019,1,uttar pradesh,12458661,
43,2019,1,karnataka,10266174,
44,2019,1,andhra pradesh,8283019,
45,2019,1,telangana,7963425,
46,2019,1,rajasthan,7712204,
47,2019,1,west bengal,7449425,
48,2019,1,gujarat,6652536,
49,2019,1,madhya pradesh,6414403,
50,2019,1,tamil nadu,6296303,
51,2019,2,maharashtra,18776975,
52,2019,2,uttar pradesh,14316349,
53,2019,2,karnataka,11968087,
54,2019,2,andhra pradesh,9389003,
55,2019,2,telangana,9046007,
56,2019,2,rajasthan,8783935,
57,2019,2,west bengal,8612795,
58,2019,2,gujarat,7574645,
59,2019,2,tamil nadu,7429609,
60,2019,2,madhya pradesh,7301172,
61,2019,3,maharashtra,21313081,
62,2019,3,uttar pradesh,16044607,
63,2019,3,karnataka,13635075,
64,2019,3,andhra pradesh,10458693,
65,2019,3,telangana,10090557,
66,2019,3,rajasthan,9797304,
67,2019,3,west bengal,9643222,
68,2019,3,gujarat,8429299,
69,2019,3,tamil nadu,8428835,
70,2019,3,madhya pradesh,8180664,
71,2019,4,maharashtra,23745297,
72,2019,4,uttar pradesh,17949542,
73,2019,4,karnataka,15385416,
74,2019,4,andhra pradesh,11757883,
75,2019,4,telangana,11220691,
76,2019,4,rajasthan,10925031,
77,2019,4,west bengal,10885058,
78,2019,4,tamil nadu,9620493,
79,2019,4,gujarat,9323799,
80,2019,4,madhya pradesh,9165241,
81,2020,1,maharashtra,26168390,
82,2020,1,uttar pradesh,20136256,
83,2020,1,karnataka,17016980,
84,2020,1,andhra pradesh,13022060,
85,2020,1,telangana,12306860,
86,2020,1,rajasthan,12142053,
87,2020,1,west bengal,11960822,
88,2020,1,tamil nadu,10872368,
89,2020,1,gujarat,10259843,
90,2020,1,madhya pradesh,10151371,
91,2020,2,maharashtra,28765086,
92,2020,2,uttar pradesh,22498519,
93,2020,2,karnataka,18655366,
94,2020,2,andhra pradesh,14319675,
95,2020,2,rajasthan,13563201,
96,2020,2,telangana,13378191,
97,2020,2,west bengal,13222022,
98,2020,2,tamil nadu,12150786,
99,2020,2,gujarat,11392657,
100,2020,2,madhya pradesh,11374423,
101,2020,3,maharashtra,31409513,
102,2020,3,uttar pradesh,24838116,
103,2020,3,karnataka,20487550,
104,2020,3,andhra pradesh,15692405,
